SEASON,TEAM,FORMATION,FORMATION_COUNT
2021,Atalanta,3-4-3,19
2021,Benevento,4-3-2-1,21
2021,Bologna,4-2-3-1,33
2021,Cagliari,3-5-2,8
2021,Cagliari,4-2-3-1,8
2021,Crotone,3-5-2,28
2021,Fiorentina,3-5-2,28
2021,Genoa,3-5-2,29
2021,Hellas Verona,3-4-3,36
2021,Internazionale,3-5-2,31
2021,Juventus,4-4-2,29
2021,Lazio,3-5-2,37
2021,Milan,4-2-3-1,38
2021,Napoli,4-2-3-1,33
2021,Parma,4-3-3,18
2021,Roma,3-4-3,31
2021,Sampdoria,4-4-2,17
2021,Sassuolo,4-2-3-1,32
2021,Spezia,4-3-3,37
2021,Torino,3-5-2,25
2021,Udinese,3-5-2,23
2022,Atalanta,3-4-3,23
2022,Bologna,3-4-3,15
2022,Cagliari,3-5-2,23
2022,Empoli,4-3-1-2,29
2022,Fiorentina,4-3-3,37
2022,Genoa,4-2-3-1,16
2022,Hellas Verona,3-4-3,33
2022,Internazionale,3-5-2,35
2022,Juventus,4-4-2,19
2022,Lazio,4-3-3,37
2022,Milan,4-2-3-1,36
2022,Napoli,4-2-3-1,24
2022,Roma,4-2-3-1,13
2022,Salernitana,3-5-2,10
2022,Sampdoria,4-4-2,16
2022,Sassuolo,4-2-3-1,24
2022,Spezia,4-2-3-1,17
2022,Torino,3-4-3,36
2022,Udinese,3-5-2,27
2022,Venezia,4-3-3,13
2023,Atalanta,3-4-3,17
2023,Bologna,4-2-3-1,21
2023,Cremonese,3-5-2,11
2023,Empoli,4-3-1-2,30
2023,Fiorentina,4-2-3-1,18
2023,Fiorentina,4-3-3,18
2023,Hellas Verona,3-4-3,18
2023,Internazionale,3-5-2,37
2023,Juventus,3-5-1-1,12
2023,Lazio,4-3-3,36
2023,Lecce,4-3-3,32
2023,Milan,4-2-3-1,29
2023,Monza,3-4-3,28
2023,Napoli,4-3-3,34
2023,Roma,3-4-3,27
2023,Salernitana,3-4-3,16
2023,Sampdoria,3-4-1-2,14
2023,Sassuolo,4-3-3,35
2023,Spezia,3-5-2,25
2023,Torino,3-4-3,35
2023,Udinese,3-5-2,30
2024,Atalanta,3-4-1-2,22
2024,Bologna,4-2-3-1,22
2024,Cagliari,4-4-1-1,7
2024,Empoli,3-4-3,12
2024,Fiorentina,4-2-3-1,38
2024,Frosinone,3-4-3,11
2024,Genoa,3-5-2,29
2024,Hellas Verona,4-2-3-1,21
2024,Internazionale,3-5-2,37
2024,Juventus,3-5-2,28
2024,Lazio,4-3-3,29
2024,Lecce,4-3-3,22
2024,Milan,4-2-3-1,23
2024,Monza,3-4-3,23
2024,Napoli,4-3-3,35
2024,Roma,3-5-2,15
2024,Salernitana,3-4-3,23
2024,Sassuolo,4-2-3-1,26
2024,Torino,3-4-1-2,19
2024,Udinese,3-5-2,17
2025,Atalanta,3-4-3,24
2025,Bologna,4-2-3-1,30
2025,Cagliari,3-5-2,10
2025,Como,4-2-3-1,27
2025,Empoli,3-4-3,27
2025,Fiorentina,4-2-3-1,16
2025,Genoa,4-2-3-1,15
2025,Hellas Verona,3-4-1-2,11
2025,Internazionale,3-5-2,30
2025,Juventus,4-2-3-1,27
2025,Lazio,4-2-3-1,32
2025,Lecce,4-2-3-1,21
2025,Milan,4-2-3-1,25
2025,Monza,3-4-3,25
2025,Napoli,4-3-3,26
2025,Parma,4-2-3-1,18
2025,Roma,3-4-3,18
2025,Torino,3-5-2,19
2025,Udinese,3-5-2,16
2025,Venezia,3-5-2,21
