TEAM,SEASON,FORMATION_STATUS,MATCHES_PLAYED,WIN_RATE
Atalanta,2021,SAME,14,0.57
Atalanta,2021,CHANGED,23,0.61
Benevento,2021,SAME,17,0.18
Benevento,2021,CHANGED,20,0.15
Bologna,2021,CHANGED,9,0.22
Bologna,2021,SAME,28,0.29
Cagliari,2021,SAME,16,0.31
Cagliari,2021,CHANGED,21,0.19
Crotone,2021,CHANGED,11,0.27
Crotone,2021,SAME,26,0.12
Fiorentina,2021,SAME,23,0.17
Fiorentina,2021,CHANGED,14,0.29
Genoa,2021,SAME,29,0.21
Genoa,2021,CHANGED,8,0.38
Hellas Verona,2021,CHANGED,4,0.50
Hellas Verona,2021,SAME,33,0.24
Internazionale,2021,CHANGED,5,0.60
Internazionale,2021,SAME,32,0.75
Juventus,2021,CHANGED,14,0.57
Juventus,2021,SAME,23,0.61
Lazio,2021,CHANGED,2,0.50
Lazio,2021,SAME,35,0.54
Milan,2021,SAME,37,0.62
Napoli,2021,CHANGED,7,1.00
Napoli,2021,SAME,30,0.53
Parma,2021,SAME,15,0.00
Parma,2021,CHANGED,22,0.14
Roma,2021,CHANGED,7,0.43
Roma,2021,SAME,30,0.50
Sampdoria,2021,SAME,14,0.50
Sampdoria,2021,CHANGED,23,0.35
Sassuolo,2021,CHANGED,10,0.50
Sassuolo,2021,SAME,27,0.44
Spezia,2021,SAME,35,0.23
Spezia,2021,CHANGED,2,0.50
Torino,2021,SAME,25,0.20
Torino,2021,CHANGED,12,0.17
Udinese,2021,CHANGED,13,0.46
Udinese,2021,SAME,24,0.17
Atalanta,2022,CHANGED,14,0.29
Atalanta,2022,SAME,24,0.50
Bologna,2022,SAME,23,0.35
Bologna,2022,CHANGED,15,0.27
Cagliari,2022,SAME,18,0.17
Cagliari,2022,CHANGED,20,0.15
Empoli,2022,SAME,28,0.29
Empoli,2022,CHANGED,9,0.22
Fiorentina,2022,SAME,35,0.54
Fiorentina,2022,CHANGED,3,0.00
Genoa,2022,CHANGED,16,0.06
Genoa,2022,SAME,22,0.14
Hellas Verona,2022,SAME,32,0.38
Hellas Verona,2022,CHANGED,6,0.33
Internazionale,2022,CHANGED,4,0.25
Internazionale,2022,SAME,34,0.71
Juventus,2022,SAME,18,0.56
Juventus,2022,CHANGED,20,0.50
Lazio,2022,CHANGED,3,0.67
Lazio,2022,SAME,35,0.46
Milan,2022,SAME,34,0.65
Milan,2022,CHANGED,4,1.00
Napoli,2022,SAME,27,0.67
Napoli,2022,CHANGED,11,0.55
Roma,2022,CHANGED,14,0.50
Roma,2022,SAME,24,0.46
Salernitana,2022,CHANGED,21,0.05
Salernitana,2022,SAME,16,0.38
Sampdoria,2022,SAME,18,0.39
Sampdoria,2022,CHANGED,20,0.15
Sassuolo,2022,CHANGED,15,0.40
Sassuolo,2022,SAME,23,0.30
Spezia,2022,SAME,14,0.29
Spezia,2022,CHANGED,24,0.25
Torino,2022,CHANGED,5,0.40
Torino,2022,SAME,33,0.33
Udinese,2022,CHANGED,9,0.22
