SEASON,TEAM,FORMATION_VARIETY,FORMATION_STABILITY_SCORE
2021,Milan,1,0.03
2021,Lazio,2,0.05
2021,Spezia,2,0.05
2021,Napoli,3,0.08
2021,Hellas Verona,3,0.08
2021,Sassuolo,4,0.11
2021,Internazionale,4,0.11
2021,Roma,4,0.11
2021,Torino,5,0.13
2021,Atalanta,5,0.13
2021,Juventus,5,0.13
2021,Udinese,5,0.13
2021,Bologna,5,0.13
2021,Crotone,6,0.16
2021,Genoa,6,0.16
2021,Benevento,7,0.18
2021,Fiorentina,7,0.18
2021,Parma,9,0.24
2021,Sampdoria,9,0.24
2021,Cagliari,11,0.29
2022,Milan,2,0.05
2022,Lazio,2,0.05
2022,Internazionale,2,0.05
2022,Fiorentina,2,0.05
2022,Torino,2,0.05
2022,Sassuolo,3,0.08
2022,Hellas Verona,3,0.08
2022,Napoli,3,0.08
2022,Atalanta,4,0.11
2022,Udinese,5,0.13
2022,Empoli,5,0.13
2022,Roma,5,0.13
2022,Bologna,7,0.18
2022,Juventus,8,0.21
2022,Genoa,8,0.21
2022,Cagliari,9,0.24
2022,Venezia,9,0.24
2022,Sampdoria,10,0.26
2022,Spezia,10,0.26
2022,Salernitana,13,0.34
2023,Internazionale,2,0.05
2023,Napoli,2,0.05
2023,Sassuolo,2,0.05
2023,Torino,2,0.05
2023,Lazio,3,0.08
2023,Lecce,3,0.08
2023,Udinese,3,0.08
2023,Fiorentina,4,0.11
2023,Monza,4,0.11
2023,Atalanta,5,0.13
2023,Milan,5,0.13
2023,Empoli,5,0.13
2023,Spezia,5,0.13
2023,Hellas Verona,6,0.15
2023,Bologna,6,0.16
2023,Roma,7,0.18
2023,Salernitana,7,0.18
2023,Cremonese,7,0.18
2023,Juventus,9,0.24
2023,Sampdoria,10,0.26
2024,Fiorentina,1,0.03
2024,Internazionale,2,0.05
2024,Atalanta,3,0.08
2024,Lazio,3,0.08
2024,Udinese,4,0.11
2024,Bologna,4,0.11
2024,Milan,4,0.11
2024,Torino,4,0.11
2024,Napoli,4,0.11
2024,Juventus,5,0.13
2024,Sassuolo,5,0.13
2024,Lecce,5,0.13
2024,Monza,6,0.16
2024,Empoli,6,0.16
2024,Roma,7,0.18
2024,Hellas Verona,7,0.18
2024,Genoa,7,0.18
2024,Frosinone,9,0.24
2024,Salernitana,9,0.24
2024,Cagliari,13,0.34
2025,Atalanta,2,0.05
2025,Internazionale,3,0.08
2025,Milan,3,0.08
2025,Lazio,3,0.08
2025,Bologna,3,0.08
2025,Napoli,4,0.11
2025,Juventus,5,0.13
2025,Venezia,5,0.13
2025,Monza,5,0.13
2025,Empoli,5,0.13
2025,Fiorentina,6,0.16
2025,Lecce,6,0.16
2025,Parma,6,0.16
2025,Torino,8,0.21
2025,Cagliari,8,0.21
2025,Hellas Verona,8,0.21
2025,Genoa,8,0.21
2025,Como,8,0.21
2025,Udinese,8,0.21
2025,Roma,9,0.24
