TEAM,GS_2024,GS_2025,SCORING_TREND,GC_2024,GC_2025,DEFENSIVE_TREND
Atalanta,1.89,2.05,↑,1.11,0.97,↑
Bologna,1.42,1.50,↑,0.84,1.24,↓
Cagliari,1.11,1.05,↓,1.79,1.47,↑
Empoli,0.76,0.87,↑,1.42,1.55,↓
Fiorentina,1.61,1.54,↓,1.21,1.11,↑
Genoa,1.18,0.97,↓,1.18,1.29,↓
Hellas Verona,1.00,0.89,↓,1.34,1.74,↓
Internazionale,2.34,2.14,↓,0.58,0.86,↓
Juventus,1.42,1.53,↑,0.82,0.92,↓
Lazio,1.29,1.61,↑,1.03,1.29,↓
Lecce,0.84,0.71,↓,1.42,1.53,↓
Milan,2.00,1.61,↓,1.29,1.13,↑
Monza,1.03,0.74,↓,1.34,1.82,↓
Napoli,1.45,1.55,↑,1.26,0.71,↑
Roma,1.71,1.47,↓,1.21,0.92,↑
Torino,0.95,1.03,↑,0.95,1.18,↓
Udinese,0.97,1.08,↑,1.39,1.47,↓
