TEAM,SEASON,CORR_XG_ATTENDANCE,CORR_POINTS_ATTENDANCE
Atalanta,2021,,
Benevento,2021,,
Bologna,2021,,
Cagliari,2021,,
Crotone,2021,,
Fiorentina,2021,,
Genoa,2021,,
Hellas Verona,2021,,
Internazionale,2021,,
Juventus,2021,,
Lazio,2021,,
Milan,2021,,
Napoli,2021,,
Parma,2021,,
Roma,2021,,
Sampdoria,2021,,
Sassuolo,2021,0.5,0.8660254038
Spezia,2021,,
Torino,2021,,
Udinese,2021,,
Atalanta,2022,-0.05204854362,-0.3908011052
Bologna,2022,0.07231855395,-0.4000441299
Cagliari,2022,0.2745124061,-0.1114559885
Empoli,2022,0.1756928517,0.07119232495
Fiorentina,2022,-0.3400934438,0.2133011162
Genoa,2022,0.2029568284,0.3315061491
Hellas Verona,2022,-0.1918774577,-0.1090702982
Internazionale,2022,-0.02923930802,-0.00494050234
Juventus,2022,-0.1689564132,-0.2660854298
Lazio,2022,-0.336579349,-0.1353037947
Milan,2022,0.5388243972,0.2168885
Napoli,2022,0.2288863582,-0.4071326108
Roma,2022,-0.22611925,-0.2447522596
Salernitana,2022,-0.2766327418,0.2842218639
Sampdoria,2022,-0.06976694275,0.3805673889
Sassuolo,2022,-0.01760335674,-0.273778706
Spezia,2022,0.1310667925,-0.00935873198
Torino,2022,-0.07781423488,0.0506691249
Udinese,2022,0.07992846281,-0.4143096177
Venezia,2022,0.307013822,0.2001546823
Atalanta,2023,-0.1639308076,-0.3237861548
Bologna,2023,-0.009419742904,0.1151172936
Cremonese,2023,-0.1536016003,-0.6808566888
Empoli,2023,-0.1490219499,0.09407863645
Fiorentina,2023,0.0300952275,-0.1176589432
Hellas Verona,2023,0.192665649,-0.236744946
Internazionale,2023,-0.0575890821,-0.2975554212
Juventus,2023,0.0202696124,0.1371747912
Lazio,2023,0.3209485134,0.3601968728
Lecce,2023,0.4210637763,-0.2673868182
Milan,2023,0.1396813973,0.1637381836
Monza,2023,-0.02044536776,0.443604965
Napoli,2023,0.3229705964,0.007268836179
Roma,2023,-0.1000730084,-0.1530063657
Salernitana,2023,0.05684652834,-0.2183894876
Sampdoria,2023,-0.08503050393,-0.4741427471
Sassuolo,2023,-0.1326062438,0.07159665523
Spezia,2023,-0.006500589747,0.4349348159
Torino,2023,0.01022593472,0.02672392123
Udinese,2023,0.7346544731,0.2909886734
Atalanta,2024,-0.04086439286,-0.3216083611
Bologna,2024,-0.1979348932,-0.4411997557
Cagliari,2024,-0.1790753587,-0.4902460528
Empoli,2024,-0.2518985144,0.09625013025
Fiorentina,2024,0.1980398035,-0.408539557
Frosinone,2024,0.03983030388,-0.4400574261
Genoa,2024,-0.1204208467,-0.2958384439
Hellas Verona,2024,0.2244101174,0.1888023127
Internazionale,2024,0.05946541188,0.2001692888
Juventus,2024,-0.1237674932,-0.09927786958
Lazio,2024,-0.1084520288,0.09074092256
Lecce,2024,-0.4240053636,0.1770035716
Milan,2024,-0.5439774327,-0.3731540538
Monza,2024,-0.08020465822,-0.3797077227
Napoli,2024,-0.1056852593,-0.1070634032
Roma,2024,-0.06088200838,0.08737763918
Salernitana,2024,-0.3714982131,-0.1573650548
Sassuolo,2024,0.3548335078,0.02010876805
Torino,2024,0.3050282561,-0.2477754214
Udinese,2024,0.4174455934,-0.134322582
Atalanta,2025,0.2756229794,-0.040089762
Bologna,2025,0.007275213167,-0.2559043266
Cagliari,2025,0.1130001372,0.487797825
Como,2025,0.1463738084,0.1478057353
Empoli,2025,-0.8461412097,-0.1480206015
Fiorentina,2025,0.3907626686,0.2511144209
Genoa,2025,-0.3496243412,-0.4785484754
Hellas Verona,2025,0.06092599924,0.1807584956
Internazionale,2025,0.2655333252,-0.2747982471
Juventus,2025,0.1795409749,-0.07388866524
Lazio,2025,-0.07276089521,-0.3101773985
Lecce,2025,0.063255603,-0.6495834213
Milan,2025,0.4767976173,0.06267545259
Monza,2025,0.3657985678,-0.04545385731
Napoli,2025,-0.1196361824,-0.2584925104
Parma,2025,0.1398742218,0.5218479532
Roma,2025,-0.304859324,0.1895451797
Torino,2025,0.4776971747,-0.09297068932
Udinese,2025,0.2210380086,-0.397170018
Venezia,2025,-0.6706276708,-0.1786585547
