SEASON,TEAM,XG_EFFICIENCY,TOTAL_POINTS,PERCENTILE_TOTAL_POINTS,PERCENTILE_XG_EFFICIENCY
2021,Internazionale,1.2,91,1,0.8421052632
2021,Milan,1.05,79,0.9473684211,0.5263157895
2021,Juventus,1.04,78,0.8421052632,0.3684210526
2021,Atalanta,1.21,78,0.8421052632,0.8947368421
2021,Napoli,1.27,77,0.7894736842,1
2021,Lazio,1.05,68,0.7368421053,0.5263157895
2021,Roma,1.04,62,0.6315789474,0.3684210526
2021,Sassuolo,1.1,62,0.6315789474,0.6315789474
2021,Sampdoria,1.14,52,0.5789473684,0.7894736842
2021,Hellas Verona,1.01,45,0.5263157895,0.3157894737
2021,Genoa,1.22,42,0.4736842105,0.9473684211
2021,Bologna,0.93,41,0.4210526316,0.1052631579
2021,Udinese,0.93,40,0.3157894737,0.1052631579
2021,Fiorentina,1.04,40,0.3157894737,0.3684210526
2021,Spezia,1.11,39,0.2631578947,0.6842105263
2021,Torino,1,37,0.1578947368,0.2631578947
2021,Cagliari,0.91,37,0.1578947368,0
2021,Benevento,0.99,33,0.1052631579,0.2105263158
2021,Crotone,1.11,23,0.05263157895,0.6842105263
2021,Parma,0.92,20,0,0.05263157895
2022,Milan,1.15,86,1,0.6842105263
2022,Internazionale,1.03,84,0.9473684211,0.4736842105
2022,Napoli,1.27,79,0.8947368421,0.8947368421
2022,Juventus,1.1,70,0.8421052632,0.5789473684
2022,Lazio,1.39,64,0.7894736842,1
2022,Roma,0.9,63,0.7368421053,0.1052631579
2022,Fiorentina,0.98,62,0.6842105263,0.3157894737
2022,Atalanta,1.04,59,0.6315789474,0.5263157895
2022,Hellas Verona,1.29,53,0.5789473684,0.9473684211
2022,Torino,0.94,50,0.4736842105,0.2631578947
2022,Sassuolo,1.15,50,0.4736842105,0.6842105263
2022,Udinese,1.19,47,0.4210526316,0.7894736842
2022,Bologna,0.98,46,0.3684210526,0.3157894737
2022,Empoli,1.11,41,0.3157894737,0.6315789474
2022,Spezia,1.02,36,0.2105263158,0.4210526316
2022,Sampdoria,1.25,36,0.2105263158,0.8421052632
2022,Salernitana,0.91,31,0.1578947368,0.1578947368
2022,Cagliari,0.88,30,0.1052631579,0.05263157895
2022,Genoa,0.72,28,0.05263157895,0
2022,Venezia,0.93,27,0,0.2105263158
2023,Napoli,1.19,90,1,0.8947368421
2023,Lazio,1.17,74,0.9473684211,0.8421052632
2023,Internazionale,1.04,72,0.8421052632,0.6315789474
2023,Juventus,1.01,72,0.8421052632,0.5789473684
2023,Milan,1.09,70,0.7894736842,0.7368421053
2023,Atalanta,1.15,64,0.7368421053,0.7894736842
2023,Roma,0.87,63,0.6842105263,0.1052631579
2023,Fiorentina,0.97,56,0.6315789474,0.4210526316
2023,Bologna,1.22,54,0.5789473684,0.9473684211
2023,Torino,1,53,0.5263157895,0.4736842105
2023,Monza,1.04,52,0.4736842105,0.6315789474
2023,Udinese,1,46,0.4210526316,0.4736842105
2023,Sassuolo,0.91,45,0.3684210526,0.1578947368
2023,Empoli,0.96,43,0.3157894737,0.3684210526
2023,Salernitana,1.3,42,0.2631578947,1
2023,Lecce,0.91,36,0.2105263158,0.1578947368
2023,Hellas Verona,0.93,34,0.1578947368,0.3157894737
2023,Spezia,0.73,31,0.1052631579,0.05263157895
2023,Cremonese,0.92,27,0.05263157895,0.2631578947
2023,Sampdoria,0.7,19,0,0
2024,Internazionale,1.14,94,1,0.7368421053
2024,Milan,1.15,75,0.9473684211,0.7894736842
2024,Juventus,0.99,71,0.8947368421,0.3684210526
2024,Atalanta,1.25,69,0.8421052632,0.8947368421
2024,Bologna,1.13,68,0.7894736842,0.6842105263
2024,Roma,1.26,63,0.7368421053,0.9473684211
2024,Lazio,1.05,61,0.6842105263,0.5263157895
2024,Fiorentina,1.18,60,0.6315789474,0.8421052632
2024,Torino,0.95,53,0.5263157895,0.1578947368
2024,Napoli,0.89,53,0.5263157895,0.1052631579
2024,Genoa,1.26,49,0.4736842105,0.9473684211
2024,Monza,0.99,45,0.4210526316,0.3684210526
2024,Hellas Verona,1.01,38,0.3157894737,0.4736842105
2024,Lecce,0.74,38,0.3157894737,0
