SEASON,TEAM,MATCH_PLAYED,TOTAL_POINTS,WINS,DRAWS,LOSS,GOALS_SCORED,GOALS_CONCEDED,XG_EFFICIENY,WIN_PERCENTAGE
2021,Atalanta,38,78,23,9,6,90,47,1.21,60.53
2021,Benevento,38,33,7,12,19,40,75,0.99,18.42
2021,Bologna,38,41,10,11,17,51,65,0.93,26.32
2021,Cagliari,38,37,9,10,19,43,59,0.91,23.68
2021,Crotone,38,23,6,5,27,45,92,1.11,15.79
2021,Fiorentina,38,40,9,13,16,47,59,1.04,23.68
2021,Genoa,38,42,10,12,16,47,58,1.22,26.32
2021,Hellas Verona,38,45,11,12,15,46,48,1.01,28.95
2021,Internazionale,38,91,28,7,3,89,35,1.2,73.68
2021,Juventus,38,78,23,9,6,77,38,1.04,60.53
2021,Lazio,38,68,21,5,12,61,55,1.05,55.26
2021,Milan,38,79,24,7,7,74,41,1.05,63.16
2021,Napoli,38,77,24,5,9,86,41,1.27,63.16
2021,Parma,38,20,3,11,24,39,83,0.92,7.89
2021,Roma,38,62,18,8,12,68,58,1.04,47.37
2021,Sampdoria,38,52,15,7,16,52,54,1.14,39.47
2021,Sassuolo,38,62,17,11,10,64,56,1.1,44.74
2021,Spezia,38,39,9,12,17,52,72,1.11,23.68
2021,Torino,38,37,7,16,15,50,69,1,18.42
2021,Udinese,38,40,10,10,18,42,58,0.93,26.32
2022,Atalanta,38,59,16,11,11,65,48,1.04,42.11
2022,Bologna,38,46,12,10,16,44,55,0.98,31.58
2022,Cagliari,38,30,6,12,20,34,68,0.88,15.79
2022,Empoli,38,41,10,11,17,50,70,1.11,26.32
2022,Fiorentina,38,62,19,5,14,59,51,0.98,50.00
2022,Genoa,38,28,4,16,18,27,60,0.72,10.53
2022,Hellas Verona,38,53,14,11,13,65,59,1.29,36.84
2022,Internazionale,38,84,25,9,4,84,32,1.03,65.79
2022,Juventus,38,70,20,10,8,57,37,1.1,52.63
2022,Lazio,38,64,18,10,10,77,58,1.39,47.37
2022,Milan,38,86,26,8,4,69,31,1.15,68.42
2022,Napoli,38,79,24,7,7,74,31,1.27,63.16
2022,Roma,38,63,18,9,11,59,43,0.9,47.37
2022,Salernitana,38,31,7,10,21,33,78,0.91,18.42
2022,Sampdoria,38,36,10,6,22,46,63,1.25,26.32
2022,Sassuolo,38,50,13,11,14,64,66,1.15,34.21
2022,Spezia,38,36,10,6,22,41,71,1.02,26.32
2022,Torino,38,50,13,11,14,46,41,0.94,34.21
2022,Udinese,38,47,11,14,13,61,58,1.19,28.95
2022,Venezia,38,27,6,9,23,34,69,0.93,15.79
2023,Atalanta,38,64,19,7,12,66,48,1.15,50.00
2023,Bologna,38,54,14,12,12,53,49,1.22,36.84
2023,Cremonese,38,27,5,12,21,36,69,0.92,13.16
2023,Empoli,38,43,10,13,15,37,49,0.96,26.32
2023,Fiorentina,38,56,15,11,12,53,43,0.97,39.47
2023,Hellas Verona,39,34,8,10,21,34,60,0.93,20.51
2023,Internazionale,38,72,23,3,12,71,42,1.04,60.53
2023,Juventus,38,72,22,6,10,56,33,1.01,57.89
2023,Lazio,38,74,22,8,8,60,30,1.17,57.89
2023,Lecce,38,36,8,12,18,33,46,0.91,21.05
2023,Milan,38,70,20,10,8,64,43,1.09,52.63
2023,Monza,38,52,14,10,14,48,52,1.04,36.84
2023,Napoli,38,90,28,6,4,77,28,1.19,73.68
2023,Roma,38,63,18,9,11,50,38,0.87,47.37
2023,Salernitana,38,42,9,15,14,48,62,1.3,23.68
2023,Sampdoria,38,19,3,10,25,24,71,0.7,7.89
2023,Sassuolo,38,45,12,9,17,47,61,0.91,31.58
2023,Spezia,39,31,6,13,20,32,65,0.73,15.38
2023,Torino,38,53,14,11,13,42,41,1,36.84
2023,Udinese,38,46,11,13,14,47,48,1,28.95
2024,Atalanta,38,69,21,6,11,72,42,1.25,55.26
2024,Bologna,38,68,18,14,6,54,32,1.13,47.37
2024,Cagliari,38,36,8,12,18,42,68,0.96,21.05
2024,Empoli,38,36,9,9,20,29,54,0.8,23.68
2024,Fiorentina,38,60,17,9,12,61,46,1.18,44.74
2024,Frosinone,38,35,8,11,19,44,69,0.96,21.05
2024,Genoa,38,49,12,13,13,45,45,1.26,31.58
2024,Hellas Verona,38,38,9,11,18,38,51,1.01,23.68
2024,Internazionale,38,94,29,7,2,89,22,1.14,76.32
2024,Juventus,38,71,19,14,5,54,31,0.99,50.00
2024,Lazio,38,61,18,7,13,49,39,1.05,47.37
