SEASON,TEAM,VENUE,TOTAL_SHOTS_TAKE,TOTAL_SHOTS_TARGET,TOTAL_GOALS,ON_TARGET_RATIO,SHOT_CONVERSION_RATE,AVG_POSSESSION,POSSESSION_EFFECTIVENESS
2021,Atalanta,Home,323,105,49,3.08,0.15,56.74,0.05
2021,Atalanta,Away,291,116,41,2.51,0.14,52.47,0.04
2021,Benevento,Home,204,70,19,2.91,0.09,42.58,0.02
2021,Benevento,Away,207,58,21,3.57,0.1,42.63,0.03
2021,Bologna,Away,251,85,18,2.95,0.07,51.21,0.02
2021,Bologna,Home,244,90,33,2.71,0.14,50.32,0.03
2021,Cagliari,Home,246,66,22,3.73,0.09,45.95,0.03
2021,Cagliari,Away,183,56,21,3.27,0.11,43.58,0.03
2021,Crotone,Away,166,51,22,3.25,0.13,46.47,0.02
2021,Crotone,Home,187,60,23,3.12,0.12,46.05,0.03
2021,Fiorentina,Home,209,60,25,3.48,0.12,45.74,0.03
2021,Fiorentina,Away,157,55,22,2.85,0.14,46.84,0.02
2021,Genoa,Home,185,67,29,2.76,0.16,45.16,0.03
2021,Genoa,Away,153,53,18,2.89,0.12,44.53,0.02
2021,Hellas Verona,Home,228,70,23,3.26,0.1,49.74,0.02
2021,Hellas Verona,Away,172,48,23,3.58,0.13,49.26,0.02
2021,Internazionale,Home,262,103,53,2.54,0.2,50.05,0.06
2021,Internazionale,Away,281,91,36,3.09,0.13,54.89,0.03
2021,Juventus,Away,257,90,37,2.86,0.14,56.84,0.03
2021,Juventus,Home,328,116,40,2.83,0.12,57,0.04
2021,Lazio,Home,266,98,36,2.71,0.14,52.53,0.04
2021,Lazio,Away,248,77,25,3.22,0.1,53.47,0.02
2021,Milan,Home,321,103,31,3.12,0.1,54.42,0.03
2021,Milan,Away,216,81,43,2.67,0.2,48.95,0.05
2021,Napoli,Away,321,100,36,3.21,0.11,55.84,0.03
2021,Napoli,Home,316,117,50,2.7,0.16,54.32,0.05
2021,Parma,Home,222,69,16,3.22,0.07,48.42,0.02
2021,Parma,Away,170,54,23,3.15,0.14,47.16,0.03
2021,Roma,Home,292,101,42,2.89,0.14,52.37,0.04
2021,Roma,Away,245,90,26,2.72,0.11,52.53,0.03
2021,Sampdoria,Home,216,74,32,2.92,0.15,46.37,0.04
2021,Sampdoria,Away,206,60,20,3.43,0.1,44.05,0.02
2021,Sassuolo,Away,249,84,33,2.96,0.13,58.79,0.03
2021,Sassuolo,Home,267,80,31,3.34,0.12,61.79,0.03
2021,Spezia,Away,178,60,24,2.97,0.13,51.74,0.02
2021,Spezia,Home,204,70,28,2.91,0.14,52,0.03
2021,Torino,Away,217,65,25,3.34,0.12,45.89,0.03
2021,Torino,Home,240,79,25,3.04,0.1,48.74,0.03
2021,Udinese,Home,218,66,14,3.3,0.06,46.47,0.02
2021,Udinese,Away,192,59,28,3.25,0.15,46.11,0.03
2022,Atalanta,Away,272,78,34,3.49,0.13,53.58,0.03
2022,Atalanta,Home,326,89,31,3.66,0.1,56.37,0.03
2022,Bologna,Home,225,69,25,3.26,0.11,51.95,0.03
2022,Bologna,Away,209,74,19,2.82,0.09,49.26,0.02
2022,Cagliari,Home,226,61,20,3.7,0.09,46.58,0.02
2022,Cagliari,Away,194,56,14,3.46,0.07,42.37,0.02
2022,Empoli,Away,216,67,22,3.22,0.1,46.11,0.03
2022,Empoli,Home,274,84,28,3.26,0.1,48.68,0.03
2022,Fiorentina,Away,211,59,21,3.58,0.1,56.32,0.02
2022,Fiorentina,Home,290,113,38,2.57,0.13,59.11,0.03
2022,Genoa,Away,177,50,13,3.54,0.07,42.89,0.02
2022,Genoa,Home,220,56,14,3.93,0.06,44.95,0.02
2022,Hellas Verona,Away,215,68,31,3.16,0.14,50.26,0.03
