SEASON,TEAM,MATCH_DATE,RESULT,LAST_1,LAST_2,LAST_3,LAST_4,LAST_5,FORM_SCORE
2021,Atalanta,2021-04-11,Fiorentina,W,W,W,L,W,12
2021,Atalanta,2021-05-23,Milan,W,W,W,D,W,10
2021,Atalanta,2021-02-06,Torino,L,W,D,D,W,6
2021,Atalanta,2021-02-21,Napoli,W,D,L,W,D,10
2021,Atalanta,2021-02-28,Sampdoria,W,W,D,L,W,10
2021,Atalanta,2021-03-03,Crotone,W,W,W,D,L,13
2021,Atalanta,2021-03-08,Inter,W,W,W,W,D,12
2021,Atalanta,2021-03-12,Spezia,L,W,W,W,W,12
2021,Atalanta,2021-03-21,Hellas Verona,W,L,W,W,W,12
2021,Atalanta,2020-09-26,Torino,,,,,,3
2021,Atalanta,2020-12-13,Fiorentina,L,D,D,W,L,8
2021,Atalanta,2021-04-18,Juventus,W,W,W,W,L,15
2021,Atalanta,2021-04-22,Roma,W,W,W,W,W,13
2021,Atalanta,2021-04-25,Bologna,D,W,W,W,W,13
2021,Atalanta,2021-05-02,Sassuolo,W,D,W,W,W,11
2021,Atalanta,2021-05-09,Parma,D,W,D,W,W,11
2021,Atalanta,2021-05-12,Benevento,W,D,W,D,W,11
2021,Atalanta,2021-05-15,Genoa,W,W,D,W,D,13
2021,Atalanta,2021-04-03,Udinese,W,W,L,W,W,12
2021,Atalanta,2021-02-14,Cagliari,D,L,W,D,D,8
2021,Atalanta,2020-09-30,Lazio,W,,,,,6
2021,Atalanta,2020-10-04,Cagliari,W,W,,,,9
2021,Atalanta,2020-10-17,Napoli,W,W,W,,,9
2021,Atalanta,2020-10-24,Sampdoria,L,W,W,W,,9
2021,Atalanta,2020-10-31,Crotone,L,L,W,W,W,9
2021,Atalanta,2020-11-08,Inter,W,L,L,W,W,7
2021,Atalanta,2020-11-21,Spezia,D,W,L,L,W,5
2021,Atalanta,2020-11-28,Hellas Verona,D,D,W,L,L,5
2021,Atalanta,2021-01-31,Lazio,W,D,D,W,W,8
2021,Atalanta,2020-12-16,Juventus,W,L,D,D,W,6
2021,Atalanta,2020-12-20,Roma,D,W,L,D,D,8
2021,Atalanta,2020-12-23,Bologna,W,D,W,L,D,8
2021,Atalanta,2021-01-03,Sassuolo,D,W,D,W,L,11
2021,Atalanta,2021-01-06,Parma,W,D,W,D,W,11
2021,Atalanta,2021-01-09,Benevento,W,W,D,W,D,13
2021,Atalanta,2021-01-17,Genoa,W,W,W,D,W,11
2021,Atalanta,2021-01-20,Udinese,D,W,W,W,D,11
2021,Atalanta,2021-01-23,Milan,D,D,W,W,W,11
2021,Benevento,2021-04-03,Parma,W,L,D,L,L,5
2021,Benevento,2021-01-30,Inter,D,L,L,W,L,4
2021,Benevento,2021-05-16,Crotone,L,L,L,L,D,1
2021,Benevento,2021-02-21,Roma,D,D,L,D,L,4
2021,Benevento,2021-02-28,Napoli,D,D,D,L,D,3
2021,Benevento,2021-03-03,Hellas Verona,L,D,D,D,L,3
2021,Benevento,2021-03-06,Spezia,L,L,D,D,D,3
2021,Benevento,2021-03-13,Fiorentina,D,L,L,D,D,2
2021,Benevento,2021-03-21,Juventus,L,D,L,L,D,4
2021,Benevento,2021-04-21,Genoa,L,L,D,W,L,5
2021,Benevento,2021-01-22,Torino,L,L,W,L,W,4
2021,Benevento,2021-04-12,Sassuolo,D,W,L,D,L,5
2021,Benevento,2021-04-18,Lazio,L,D,W,L,D,4
2021,Benevento,2021-02-12,Bologna,D,L,D,L,L,3
2021,Benevento,2021-04-25,Udinese,D,L,L,D,W,2
2021,Benevento,2021-05-01,Milan,L,D,L,L,D,1
2021,Benevento,2021-05-09,Cagliari,L,L,D,L,L,1
2021,Benevento,2021-05-12,Atalanta,L,L,L,D,L,1
2021,Benevento,2020-09-26,Sampdoria,,,,,,3
2021,Benevento,2020-11-28,Juventus,W,L,L,L,L,4
