SEASON,TEAM,TOTAL_POINTS,PERV_POINTS,POINTS_DIFF
2021,Atalanta,78,,
2021,Benevento,33,,
2021,Bologna,41,,
2021,Cagliari,37,,
2021,Crotone,23,,
2021,Fiorentina,40,,
2021,Genoa,42,,
2021,Hellas Verona,45,,
2021,Internazionale,91,,
2021,Juventus,78,,
2021,Lazio,68,,
2021,Milan,79,,
2021,Napoli,77,,
2021,Parma,20,,
2021,Roma,62,,
2021,Sampdoria,52,,
2021,Sassuolo,62,,
2021,Spezia,39,,
2021,Torino,37,,
2021,Udinese,40,,
2022,Atalanta,59,78,-19
2022,Bologna,46,41,5
2022,Cagliari,30,37,-7
2022,Empoli,41,,
2022,Fiorentina,62,40,22
2022,Genoa,28,42,-14
2022,Hellas Verona,53,45,8
2022,Internazionale,84,91,-7
2022,Juventus,70,78,-8
2022,Lazio,64,68,-4
2022,Milan,86,79,7
2022,Napoli,79,77,2
2022,Roma,63,62,1
2022,Salernitana,31,,
2022,Sampdoria,36,52,-16
2022,Sassuolo,50,62,-12
2022,Spezia,36,39,-3
2022,Torino,50,37,13
2022,Udinese,47,40,7
2022,Venezia,27,,
2023,Atalanta,64,59,5
2023,Bologna,54,46,8
2023,Cremonese,27,,
2023,Empoli,43,41,2
2023,Fiorentina,56,62,-6
2023,Hellas Verona,34,53,-19
2023,Internazionale,72,84,-12
2023,Juventus,72,70,2
2023,Lazio,74,64,10
2023,Lecce,36,,
2023,Milan,70,86,-16
2023,Monza,52,,
2023,Napoli,90,79,11
2023,Roma,63,63,0
2023,Salernitana,42,31,11
2023,Sampdoria,19,36,-17
2023,Sassuolo,45,50,-5
2023,Spezia,31,36,-5
2023,Torino,53,50,3
2023,Udinese,46,47,-1
2024,Atalanta,69,64,5
2024,Bologna,68,54,14
2024,Cagliari,36,30,6
2024,Empoli,36,43,-7
2024,Fiorentina,60,56,4
2024,Frosinone,35,,
2024,Genoa,49,28,21
2024,Hellas Verona,38,34,4
2024,Internazionale,94,72,22
2024,Juventus,71,72,-1
2024,Lazio,61,74,-13
2024,Lecce,38,36,2
2024,Milan,75,70,5
2024,Monza,45,52,-7
2024,Napoli,53,90,-37
2024,Roma,63,63,0
2024,Salernitana,17,42,-25
2024,Sassuolo,30,45,-15
2024,Torino,53,53,0
2024,Udinese,37,46,-9
2025,Atalanta,74,69,5
2025,Bologna,62,68,-6
2025,Cagliari,36,36,0
2025,Como,49,,
2025,Empoli,31,36,-5
2025,Fiorentina,62,60,2
2025,Genoa,43,49,-6
2025,Hellas Verona,37,38,-1
2025,Internazionale,81,94,-13
2025,Juventus,70,71,-1
2025,Lazio,65,61,4
2025,Lecce,34,38,-4
2025,Milan,63,75,-12
2025,Monza,18,45,-27
2025,Napoli,82,53,29
2025,Parma,36,20,16
2025,Roma,69,63,6
2025,Torino,44,53,-9
2025,Udinese,44,37,7
2025,Venezia,29,27,2
