SEASON,TEAM,VENUE,TEAM_XG,TOTAL_GOAL_SCORED,XG_EFFICIENCY_RATIO,XG_GOAL_CONCEDED,GOAL_CONCEDED,CONCEDING_XG_EFFICIENCY_RATIO
2021,Atalanta,Away,36.8,41,1.11,20.1,23,1
2021,Atalanta,Home,37.7,49,1.3,20.9,24,1
2021,Benevento,Away,18,21,1.17,33.7,36,1
2021,Benevento,Home,22.4,19,0.85,30.2,39,1
2021,Bologna,Home,27.7,33,1.19,33.2,33,1
2021,Bologna,Away,26.9,18,0.67,29.3,32,1
2021,Cagliari,Home,25.1,22,0.88,30.7,32,1
2021,Cagliari,Away,22.1,21,0.95,30.9,27,1
2021,Crotone,Away,20.4,22,1.08,37.3,57,2
2021,Crotone,Home,20.1,23,1.14,33.6,35,1
2021,Fiorentina,Away,20.2,22,1.09,31.7,34,1
2021,Fiorentina,Home,25,25,1,29.8,25,1
2021,Genoa,Home,21.9,29,1.32,28.3,30,1
2021,Genoa,Away,16.7,18,1.08,31.9,28,1
2021,Hellas Verona,Home,25.5,23,0.9,21.8,23,1
2021,Hellas Verona,Away,20.1,23,1.14,27.5,25,1
2021,Internazionale,Home,36.7,53,1.44,21.7,18,1
2021,Internazionale,Away,37.5,36,0.96,18.3,17,1
2021,Juventus,Away,36.2,37,1.02,20.5,20,1
2021,Juventus,Home,38.1,40,1.05,18.7,18,1
2021,Lazio,Away,26.6,25,0.94,25.5,32,1
2021,Lazio,Home,31.7,36,1.14,21.7,23,1
2021,Milan,Home,35.4,31,0.88,22.7,24,1
2021,Milan,Away,35.3,43,1.22,24.4,17,1
2021,Napoli,Away,34,36,1.06,22,21,1
2021,Napoli,Home,33.8,50,1.48,20.6,20,1
2021,Parma,Away,18.5,23,1.24,30.8,44,1
2021,Parma,Home,23.8,16,0.67,30.2,39,1
2021,Roma,Home,37.7,42,1.11,19.5,18,1
2021,Roma,Away,27.7,26,0.94,26.2,40,2
2021,Sampdoria,Away,23.3,20,0.86,27.4,28,1
2021,Sampdoria,Home,22.2,32,1.44,28.8,26,1
2021,Sassuolo,Away,26.9,33,1.23,29.6,29,1
2021,Sassuolo,Home,31.4,31,0.99,26,27,1
2021,Spezia,Home,23.9,28,1.17,29,33,1
