TEAM,SEASON,CORR_XG_ATTENDANCE,CORR_POINTS_ATTENDANCE
Atalanta,2021,,
Benevento,2021,,
Bologna,2021,,
Cagliari,2021,0.8660254038,0.1889822365
Crotone,2021,,
Fiorentina,2021,,
Genoa,2021,,
Hellas Verona,2021,,
Internazionale,2021,,
Juventus,2021,,
Lazio,2021,,
Milan,2021,,
Napoli,2021,,
Parma,2021,,
Roma,2021,,
Sampdoria,2021,,
Sassuolo,2021,,
Spezia,2021,,
Torino,2021,,
Udinese,2021,,
Atalanta,2022,0.03215793301,-0.2445963636
Bologna,2022,0.09891761536,-0.1040605866
Cagliari,2022,0.3469646697,-0.5315138785
Empoli,2022,0.3648722942,-0.3438827638
Fiorentina,2022,0.4725231503,-0.07453608224
Genoa,2022,-0.5545056151,-0.2510004812
Hellas Verona,2022,0.2394004256,-0.4292791327
Internazionale,2022,-0.1652119048,-0.3339342608
Juventus,2022,0.03085551336,-0.04965124367
Lazio,2022,-0.165773569,-0.3758361373
Milan,2022,-0.1826277911,-0.0754027445
Napoli,2022,-0.0391800576,-0.218186131
Roma,2022,-0.1113150332,-0.5029551
Salernitana,2022,0.1436855929,-0.2761729626
Sampdoria,2022,-0.2082548307,-0.2858180821
Sassuolo,2022,0.4625588675,0.1764012756
Spezia,2022,-0.3342587139,0.1403747172
Torino,2022,-0.2586206967,-0.07856983295
Udinese,2022,-0.07613425075,-0.02621270387
Venezia,2022,-0.01979938422,-0.2192244901
Atalanta,2023,0.4179675679,-0.3276845378
Bologna,2023,-0.2461441468,-0.4155355159
Cremonese,2023,0.07203404471,-0.3719804652
Empoli,2023,-0.2005458341,0.6184082919
Fiorentina,2023,-0.09828464421,-0.1774323505
Hellas Verona,2023,-0.2364733497,-0.1061471505
Internazionale,2023,0.2262874649,-0.3296533451
Juventus,2023,0.1079122981,-0.354079267
Lazio,2023,0.2270480092,-0.3662558947
Lecce,2023,0.1010855466,-0.8152077488
Milan,2023,0.5433322114,-0.1388097068
Monza,2023,-0.1274460677,-0.1676766413
Napoli,2023,-0.3498802432,0.04287683884
Roma,2023,0.6725313017,-0.09189413727
Salernitana,2023,0.3408844296,0.1737182572
Sampdoria,2023,0.3944241399,-0.4676360965
Sassuolo,2023,-0.05711700742,0.2245960598
Spezia,2023,-0.1695355048,-0.5488737536
Torino,2023,-0.005531567695,-0.1976658088
Udinese,2023,0.5913842536,-0.7757303467
Atalanta,2024,0.1535158934,-0.2967123346
Bologna,2024,0.3786134029,-0.05149951403
Cagliari,2024,-0.2442698492,-0.4202937074
Empoli,2024,0.6194667004,0.4995052803
Fiorentina,2024,-0.06499781126,-0.1781223643
Frosinone,2024,0.1153514289,-0.3765183352
Genoa,2024,0.0289434823,-0.2897464775
Hellas Verona,2024,-0.4048062657,-0.4595746743
Internazionale,2024,0.0764297021,0.02578249442
Juventus,2024,-0.3139901738,-0.007456172489
Lazio,2024,0.249704373,-0.1799997266
Lecce,2024,0.2214517423,-0.5058173412
Milan,2024,-0.3484343842,-0.03650456256
Monza,2024,-0.2991332798,-0.6628106155
Napoli,2024,-0.1179946326,-0.5384439576
Roma,2024,-0.1806058862,-0.4325703847
Salernitana,2024,0.5062157903,0.004649826772
Sassuolo,2024,-0.08814201837,0.4114992798
Torino,2024,0.3861558002,-0.4488258937
Udinese,2024,0.246990595,0.06479167533
Atalanta,2025,-0.02844040468,-0.01624810473
Bologna,2025,0.3703469157,-0.3905573908
Cagliari,2025,0.2567871549,-0.3134783282
Como,2025,-0.1375366003,-0.6721899817
Empoli,2025,-0.1357570124,-0.1239072453
Fiorentina,2025,-0.2736759012,-0.2933425212
Genoa,2025,0.5828752676,-0.4646254997
Hellas Verona,2025,0.2633823039,0.1452015053
Internazionale,2025,0.2364707196,-0.2847032655
Juventus,2025,0.003200310666,-0.6668377792
Lazio,2025,0.1295071462,-0.02814068414
Lecce,2025,-0.1443525552,-0.3606030134
Milan,2025,-0.05089131272,-0.2288427176
Monza,2025,0.1459953508,-0.2740764023
Napoli,2025,0.2136303312,-0.2857477153
Parma,2025,0.056190358,-0.4447392148
Roma,2025,0.3945124915,-0.1143457025
Torino,2025,-0.02277934316,-0.4835143644
Udinese,2025,-0.4322226996,-0.2782709443
Venezia,2025,-0.009560727489,-0.5792784937
