TEAM,SEASON,CONSISTENCY_SCORE
Atalanta,2021,0.1283805828
Benevento,2021,0.3829646849
Bologna,2021,0.4386643165
Cagliari,2021,0.1713256724
Crotone,2021,0.3905567847
Fiorentina,2021,0.1021911566
Genoa,2021,0.04527525326
Hellas Verona,2021,0.2745503193
Internazionale,2021,0.4126748364
Juventus,2021,0.02885860464
Lazio,2021,0.2763311007
Milan,2021,0.4970759202
Napoli,2021,0.2857687766
Parma,2021,0.3067384214
Roma,2021,0.5508862675
Sampdoria,2021,0.4965249902
Sassuolo,2021,0.2108850243
Spezia,2021,0.04975979616
Torino,2021,0.2956654136
Udinese,2021,0.09810175207
Atalanta,2022,0.3428631622
Bologna,2022,0.1441398185
Cagliari,2022,0.1197927623
Empoli,2022,0.03915144205
Fiorentina,2022,0.2348880314
Genoa,2022,0.04042220206
Hellas Verona,2022,0.2313549298
Internazionale,2022,0.04347440263
Juventus,2022,0.2742975741
Lazio,2022,0.1836761935
Milan,2022,0.1368446714
Napoli,2022,0.4105739811
Roma,2022,0.1184271605
Salernitana,2022,0.1101568426
Sampdoria,2022,0.06805586854
Sassuolo,2022,0.2004502139
Spezia,2022,0.04841803981
Torino,2022,0.2019079152
Udinese,2022,0.01525994932
Venezia,2022,0.1308753835
Atalanta,2023,0.3357186351
Bologna,2023,0.2815002269
Cremonese,2023,0.010638047
Empoli,2023,0.01902941052
Fiorentina,2023,0.3121983967
Hellas Verona,2023,0.05986431294
Internazionale,2023,0.3275075328
Juventus,2023,0.2004219031
Lazio,2023,0.02464428496
Lecce,2023,0.3494319827
Milan,2023,0.1995504072
Monza,2023,0.09783486685
Napoli,2023,0.1557665126
Roma,2023,0.5412454272
Salernitana,2023,0.433326314
Sampdoria,2023,0.0945341245
Sassuolo,2023,0.4337881667
Spezia,2023,0.128848063
Torino,2023,0.4516925292
Udinese,2023,0.2271643156
Atalanta,2024,0.09916008403
Bologna,2024,0.4119550031
Cagliari,2024,0.1016238041
Empoli,2024,0.04149682205
Fiorentina,2024,0.06571033868
Frosinone,2024,0.3270716075
Genoa,2024,0.2049707336
Hellas Verona,2024,0.2161227839
Internazionale,2024,0.2217079627
Juventus,2024,0.169269744
Lazio,2024,0.1369075951
Lecce,2024,0.1424822414
Milan,2024,0.2817801898
Monza,2024,0.1046452948
Napoli,2024,0.3440972212
Roma,2024,0.01144122803
Salernitana,2024,0.09796499455
Sassuolo,2024,0.2970283334
Torino,2024,0.2146156464
Udinese,2024,0.1597511667
Atalanta,2025,0.4553986631
Bologna,2025,0.08009991651
Cagliari,2025,0.01073662502
Como,2025,0.05107302312
Empoli,2025,0.2719936644
Fiorentina,2025,0.1381547461
Genoa,2025,0.02480397696
Hellas Verona,2025,0.6094721724
Internazionale,2025,0.3130310704
Juventus,2025,0.0730659701
Lazio,2025,0.3002474183
Lecce,2025,0.3302166619
Milan,2025,0.2857518678
Monza,2025,0.1988690195
Napoli,2025,0.2176652346
Parma,2025,0.07306474555
Roma,2025,0.4579306216
Torino,2025,0.01002749492
Udinese,2025,0.1651242744
Venezia,2025,0.05010363414
